coughing,sneezing,nasal_discharge,watery_eyes,green_droppings,yellow_droppings,bloody_stool,depressed_appetite,lethargy,weight_loss,head_tilt,diarrhea,dry_comb,comb_discoloration,wing_droop,gasping,head_swelling,feather_loss,shivering,joint_swelling,depression,loss_of_appetite,ruffled_feathers,swollen_eyes,diagnosis,treatment
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,Infectious Bronchitis,"Provide vitamins and isolate infected birds"
0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Coccidiosis,"Use anticoccidial drugs like Amprolium"
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Egg Drop Syndrome,"Improve nutrition and calcium. Remove infected birds"
0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,Fowl Typhoid,"Use Furazolidone. Improve sanitation"
0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,Avian Influenza,"Report to vet authority. No specific treatment"
1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Newcastle Disease,"Use vaccines and maintain biosecurity"
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,Arthritis,"Use anti-inflammatory drugs"
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,Fowl Cholera,"Use Sulfa drugs and isolate infected birds"
0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,Infectious Coryza,"Use Tylosin or Erythromycin"
1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,Eimeria,"Give anticoccidials and clean litter"
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Pullorum,"Use Furazolidone and isolate chicks"
0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,Bird Flu,"No treatment. Quarantine and notify authorities"
0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,Chronic Respiratory Disease,"Use Tylosin and improve ventilation"
0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,Sour Crop,"Empty crop and provide soft feed"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Multiple Risk,"Improve housing, nutrition and hygiene"
1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Fowl Pox,"No specific treatment. Vaccinate healthy birds"